quarter,国家,销售额,利润,销售额同比,利润同比
1,Algeria,597.46,-4.77,,
1,Angola,421.39,-25.28,,
1,Benin,686.65,44.64,,
1,Botswana,471.08,0.0,,
1,Burkina Faso,1370.0700000000002,34.28,,
1,Burundi,118.96,-2.38,,
1,Cameroon,1275.0,84.39,,
1,Central African Republic,743.9,52.07,,
1,Chad,270.01,-10.8,,
1,Congo,1491.56,78.62,,
1,Cote d'Ivoire,2481.4,-134.5,,
1,Democratic Republic of the Congo,2271.66,212.24,,
1,Djibouti,833.21,16.66,,
1,Egypt,435.44,21.77,,
1,Equatorial Guinea,207.77,6.23,,
1,Eritrea,832.45,76.72,,
1,Ethiopia,599.04,-7.619999999999999,,
1,Gabon,46.01,4.6,,
1,Ghana,2239.88,81.51,,
1,Guinea,784.48,-39.22,,
1,Guinea-Bissau,119.64,10.77,,
1,Kenya,344.77,-13.79,,
1,Lesotho,264.4,23.8,,
1,Liberia,750.82,-49.29,,
1,Libya,631.19,-23.96,,
1,Madagascar,1116.92,-4.47,,
1,Malawi,1033.5,-31.2,,
1,Mali,1083.56,-39.45,,
1,Mauritania,939.8100000000001,-9.129999999999999,,
1,Mauritius,444.48,13.33,,
1,Morocco,101.49,8.12,,
1,Mozambique,549.94,38.5,,
1,Namibia,927.03,46.35,,
1,Niger,1409.94,-44.510000000000005,,
1,Nigeria,1594.8700000000001,-39.68,,
1,Rwanda,543.44,32.61,,
1,Sao Tome and Principe,246.07,-7.38,,
1,Senegal,153.18,13.79,,
1,Seychelles,1474.69,-97.55,,
1,Sierra Leone,490.82,-4.91,,
1,Somalia,985.13,59.11,,
1,South Africa,2828.99,-21.23,,
1,South Sudan,1340.14,-71.21000000000001,,
1,Sudan,1192.0,53.97,,
1,Swaziland,518.99,28.369999999999997,,
1,Togo,721.02,40.199999999999996,,
1,Tunisia,295.13,26.619999999999997,,
1,Uganda,1063.54,6.119999999999997,,
1,United Republic of Tanzania,661.42,6.61,,
1,Western Sahara,388.17,19.41,,
1,Zambia,182.1,-1.82,,
1,Zimbabwe,1013.72,26.33,,
2,Angola,39.8,-3.18,-93.34%,-33.33%
2,Benin,873.5,-24.93,107.29%,-1.38%
2,Botswana,800.32,-48.02,16.55%,-207.57%
2,Burundi,785.12,39.26,66.66%,inf%
2,Cameroon,1010.27,-33.05,-26.26%,-196.41%
2,Central African Republic,595.08,5.95,400.24%,-350.0%
2,Chad,472.81,42.55,-62.92%,-49.58%
2,Cote d'Ivoire,510.55,30.63,-31.37%,-41.18%
2,Democratic Republic of the Congo,1908.7499999999998,-26.18,606.92%,142.41%
2,Djibouti,914.68,-30.630000000000003,-38.68%,-138.96%
2,Egypt,979.71,-20.630000000000003,-60.52%,-84.66%
2,Equatorial Guinea,497.89,9.96,-78.08%,-95.31%
2,Gabon,1272.35,7.75,52.7%,-53.48%
2,Ghana,1319.52,-81.82000000000001,203.03%,-475.84%
2,Guinea,1264.35,-19.2,508.53%,-408.19%
